CSR_Name,CSR_Number,Site_Name,Region
Thrumster,6378,Thrumster (BT),UK - North
Kentish Town,2086,Cornerstone 10344_Vodafone 78783,UK - London
CRAGG HILL,16898,Pylon VR046,UK - North
230 Broad Street,24418,Ontix Asset ID BIR11007241,UK - West
Queensferry,1890,London Links,UK - North
Harpenden GTG T3,75614,Luton Road Streetworks,UK - South
Fenchurch St 1,85032,Column Ref L6N08,UK - London
9025 replacement,45237,CS.12199_VF.76853 - Court Rd SF,UK - London
Vodafone 5728,70307,BRAMPTON HILL FARM,UK - South
Londonderry (2170 replacement),82009,Glenaden,UK - North
LAND AT DYEMILL,25727,Land At Dyemill,UK - North
Kempston 36762 New Parallel,22624,Halsey Road SW 1,UK - South
Stanton Hill,34912,Beaufort Construction H3G Co-Lo,UK - South
Unwind 84739,92911,M&M Steel Stock.,UK - West
OPP 37B ACTIVE AGE CENTRE-GRANGE ROAD,86215,Column Ref 14922,UK - London
Beauchief,749,Bradway Recreation Ground,UK - North
O/S 50-TOOTING HIGH STREET,86258,Column Ref 172798,UK - London
Douglas Park,91693,Bearsden Arqiva,UK - West
Monkspath Unwind,88756,SW's on Stratford Road,UK - West
Brighton Esplanade 2,72386,PITCHER AND PIANO 1-5 KINGS ROAD,UK - South
Heathrow Terminal 4 (84412) IBS Data 2,84414,Heathrow Terminal 4 (84412) IBS Data 2,UK - London
Cyncoed Road,88766,Glenwood_SW,UK - West
ISS2A DOVER AREA,31184,Dover Athletic CCI Mast,UK - South
105 High St Oxford OX1 4BW,23858,Freshwave ID OXFD 026618,UK - South
Witham,739,Witham TE,UK - South
Ruchazie Unwind,89137,Gartloch Road SW B765,UK - West
Lutterworth East,37457,Warren Farm,UK - South
Capita Business Services BBC Bristol,24169,Capita Business Services BBC Bristol,UK - South
Sluie Hill,3911,Sluie Hill,UK - North
SHEPSHED,5176,Shepshed Dynamo FC,UK - South
Gedney C_PE12_7,86946,Norfolk House Farm,UK - South
JW  kennington oval  BOWLING GREEN STREET,91558,Arqiva Ref C0214-08,UK - London
National Grid Bacton Terminal,96470,National Grid Bacton Terminal,UK - North
Bupa Wantage,87893,Bupa Wantage,UK - South
Reading Festival 2 Supercell,92099,Reading Festival 2 Supercell 2024,UK - West
Leeds Central Station,4322,Leeds Central Station,UK - North
Bradford Dennis Bellamy Hall,45797,DENNIS BELLAMY HALL CS,UK - North
Unwind NSO 18897vf for Unwind REPL 76707o2,25716,Waitrose Car Park (SW) GF,UK - South
Limbury,2175,Cornerstone 321_ Voda 32301,UK - South
Unwind 84722,92651,SW Lye Bypass_,UK - West
thanksO/S STADIUM Rugby Road,90769,Column Ref 3023638,UK - London
CCI MAST,68100,CCI MAST - MILSTEAD,UK - South
Ardmore PNS,95565,BT Co-location,UK - North
TIPTON ATE Unwind,91761,TIPTON ATE Unwind,UK - West
Arqiva 68135,73164,NORTHOLT AERODROME MD,UK - London
CMS Cameron Mckenna Cannon Street,71402,CMS Cameron Mckenna Cannon Street,UK - London
Bellair,4217,BBC Mast,UK - North
Glasgow Switchback,88844,Switchback Road SW,UK - West
New site Replacing CSR 38409,25163,Gallery Road SW's,UK - London
Priors Marston GTG,75774,TheMeadows,UK - South
Virgin Pendolino Train  390025-1,39998,Carriage 69825,UK - South
PARK TE,18608,Cornerstone_12423_Voda_79533,UK - North
Unwind 5733 Replacement ,25667,Tyburn Trading Estate,UK - West
Market Street Unwind,92549,Marble Street.,UK - West
Unwind 5893,92863,Tamworth Lane Depot,UK - West
Torwood (NTQ for Beacon site 67927),2207,Kersebrock,UK - North
Unwind 84743,92916,Archive 2000.,UK - West
Galgorm/Ahoghill North,25429,Lisnafillon Road GF,UK - North
The Wood Yard,66899,The Wood Yard - Sandhill Lane,UK - South
Durham Services 3G,34022,Adopted Public Highway - A688,UK - North
Kidlington North,2605, Fire Station,UK - South
Edinburgh Queen Street,44454,Edinburgh Queen Street,UK - North
Hulme West Unwind,89079,Footway to rear of Globe Works,UK - West
Tyndall's Park Whiteladies Road Clifton,25649,ONTIX ASSET ID BST11713089,UK - West
Glen Torridon,72555,Glen Torridon Water Treatment Works,UK - North
O/S Hammersmith Apollo  Queen Caroline St,85646,Ref  75203.8,UK - London
Ebbsfleet,84748,Wallis Park,UK - London
Nether Heyford South,35165,New Creation Farm,UK - South
Turners Ltd Boston,68823,Turners Ltd Boston,UK - South
Donnington Muxton Infill onto VF site 55254A,47684,Muxton,UK - West
Paddington AOC 1,78699,Metropole Hilton,UK - London
Replc-9699-67 Fenchurch St EC3,85706,BETFRED 107,UK - London
Knockarthur,6364,S.H-E. Tower,UK - North
Newlands Park,25579,Metropolitan Police - Newlands Park,UK - London
223 225 Whitechapel Rd Greater Whitechapel,100211,FW Asset ID LBTH 015731,UK - London
Bearwood ATE Sandon Rd,91790,Bearwood ATE Sandon Rd,UK - West
Liverpool Tax Office (B3),91685,Bootle Litherland Road (A),UK - West
IKEA Croydon DAS,24238,IKEA Croydon,UK - London
Pomona South Unwind superseded,92531,West Point Car Park.,UK - West
Blyth Services,2355,ZPML Blyth,UK - North
CURTIS MILL GREEN,5461,One-2-One Mast Loft Hall,UK - London
Wilden  SMIP,87548,Exisiting MBNL Site EE 10494,UK - South
Dartford Rail,84732,1 - 55 Temple Hill,UK - London
M2 JNC 5 (NI) Ballymartin,71651,M2 JNC 5 (NI) - Ballymartin,UK - North
ASHBY FOLEVILLE (10987VF),71310,ASHBY FOLEVILLE,UK - South
LAND ADJ A38 VF 11576,74387,Opp Derbyshire Hotel,UK - South
Nexus Metro Gateshead Bridge,33873,Nexus Metro,UK - North
New NTQ Temp Replacement (Hoghill CSR 009281),25358,Temp Greenfield off Oakbank Road,UK - North
New Parallel for 37650o2,22795,Chelmer Road SW,UK - South
9-3 Stoney St LondonSE1 9AA,100194,Freshwave ID LBSK 006979,UK - London
Anglian Water Tower (Mundesley),71442,Anglian Water Tower (Mundesley),UK - South
Perm Replacement of CSR 71529,91650,Landon Walk Flats,UK - London
O/S 17 19-FASSETT ROAD,86217,Column Ref 14968,UK - London
180 Castelnau Richmond,100827,Cellnex ID 3025006,UK - London
Farnborough IECC,91120,Farnborough IECC,UK - South
LITTLE REVEL FARM VF 8101,74368,National Grid Pylon Za-477,UK - South
Mitcham Lane Baptist Church,43981,Mitcham Lane Baptist Church,UK - London
CTI WESTERGLEN,67930,CTI - WESTERGLEN,UK - North
O/s 401 St John Street,87272,Asset ref 20815,UK - London
Brandywell (43816 Foyle West Replacement),87211,Brandywell Playing Fields,UK - North
Holiday Inn Empire Way,80002,Holiday Inn - Empire Way,UK - London
Haywards Heath Replacement,4045,Stockwell House,UK - South
Whitstable Tankerton,46364,CS.14479-VF 62257 Infill,UK - South
Barlby Road W10 (NTQ REP 10457),81153,Grand Union - Studios,UK - London
Staines Central,37981,Knowle Green SF,UK - London
Birgidale Road,64525,CS_24023_VF_83110,UK - West
PORTSLADE,17350,Kingston Broadway Flexicell,UK - South
Thurnscoe Village,75483,Thurnscoe Sports Ground,UK - North
Southwark Street,47040,61 Southwark Street,UK - London
Newry Town,2333,Moor Hill (Mill),UK - North
Colddean,22185,Coldean Lane Monopole,UK - South
SKELMANTHORPE,4994,Skelmanthorpe Fire Station,UK - North
The Mall Wood Green SC,81815,The Mall Wood Green SC,UK - London
Cornton (NTQ Rep csr9335),71028,East Cornton Road SW,UK - North
Glastonbury Steanbow Farm Supersite,25527,Glastonbury Steanbow Farm Supersite 2024,UK - West
Loch Assynt Lodge,95678,LOCH ASSYNT LODGE,UK - North
Northumbrian Water Lound,81206,Northumbrian Water Lound,UK - South
Shouldham GTG-250,80689,Cunnington's Barn,UK - South
VF78845,72083,Global House,UK - London
Unit L16 Bullring,24423,Freshwave ID BCC 022814,UK - West
Souldern,5646,Souldern Mercury,UK - South
Bradford Buttershaw North,45785,ZLO Horton Bank Top,UK - North
Next Swindon,89764,Next Swindon,UK - South
Somerset House Courtyard,79895,J&S Franklin Ltd,UK - London
Cwmbran 3134 Replacement 2,66850,Avondale Business Park (New Location),UK - West
Old street micro (4522 Replacement),49501,40 City Road,UK - London
Globe Town,32757,Bow Wharf Chimney,UK - London
Beckenham,1540,Rokell House,UK - London
336-316 Ilford Ln Ilford IG1 2LT,95196,BT Lamppost Ref 37,UK - London
Walthamstow East Temp (38244 repl),84336,17 to 39 Grosvenor Rise East - Temp,UK - London
A.L. DIGITAL COMMUNICATIONS,67675,A.L. DIGITAL COMMUNICATIONS,UK - South
Urmston North Unwind,92610,Lostock Road GF,UK - West
SPRING PARK,15139,Spring Park,UK - London
Maida Vale N,44052,St Augustines Church Kilburn,UK - London
O/s The Parish Church Opp 1,96698,ONTIX ASSET ID EAL10352342,UK - London
73155 parallel,95546,Short Lane SF,UK - London
Halstead Town FC Airwave Tower,70337,Halstead Town FC Airwave Tower (ESS064A),UK - South
New CSR VF84181 4G 516775,81963,Cleeve Meadow School,UK - London
Allestree VF,70273,Allestree SEVERN TRENT PUMPING STATION,UK - South
Refresco Gerber Bridgwater,78918,Refresco Gerber Bridgwater,UK - West
OS104 COLNE BRIDGE,15722,E. Bottomley & Sons Ltd,UK - North
Peacehaven Telscombe Cliffs VF,46968,Cornerstone_15495_Voda_46968,UK - South
MK STREET FURNITURE TWENTY THREE,15319,Neath Hill Roundabout SF,UK - South
076262 (039629) Terminal 5 Main Building 1,76262,076262 (040340) Terminal 5 - Inbuilding 1,UK - London
Latham Watkins London,92201,Latham Watkins London,UK - London
J/W Vastern Road next to Station North Interchange,24492,Ontix Asset ID RDG10925806,UK - West
Longbridge Road,37104,ZMX Longbridge Road SF,UK - London
E.E.B. Thaxted,70259,E.E.B. Thaxted - Old EEB Tower (1750vf),UK - South
Sheffield Mosborough,36825,British Oak Public House,UK - North
ST PANCRAS STN,34172,St Pancras Station (OG),UK - London
Gate Street,89188,Gate Street SW,UK - West
053593 St Martins Lane (43493),53593,053593 St Martins Lane (43493),UK - London
Woolwort corporate (enhancer),33966,Woolworth Corporate enhancer,UK - London
Eastbrook DAS Lite Pilot,96820,Eastbrook DAS Lite Pilot,UK - South
Maltby West 2,75478,SW on Grass Verge nr Harvest Close,UK - North
Balnaguard BBC,3842,Balnaguard,UK - North
Brompton Road BTSA Trial Pico,80859,BT Phone Box,UK - London
NewRail05-3G Phase 2,33729,Manor Farm 2,UK - South
Claygate,3915,Z Barwell Court Farm,UK - London
Hellaby Beacon,75317,Hellaby Industrial Estate Arqiva,UK - North
Alder Forest West Unwind PYLON,91689,ZQ033 UW,UK - West
Dundee,2590,Water Tower,UK - North
Forkhill,75886,Forkill T.E,UK - North
VF33505,72536,Bupa House,UK - London
