RFCodeID,rc_rf_cfg_code,rc_vendor
807,E06B-M3-4-v1,Ericsson
924,E06B-M4-4-v1,Ericsson
954,N06B-M3-4-v1,Nokia
1153,N06B-M4-4-v1,Nokia
1197,E06B-M2-4-v1,Ericsson
109,E07A-M2-1-v1,Ericsson
523,N07A-M2-1-v1,Nokia
525,N07A-M4-1-v1,Nokia
626,E07A-M4-1-v1,Ericsson
882,N07A-M3-1-v1,Nokia
1113,E07A-M3-1-v1,Ericsson
143,E07A-M2-2-v1,Ericsson
170,E07A-M3-2-v1,Ericsson
222,N07A-M3-2-v1,Nokia
329,N07A-M2-2-v1,Nokia
621,N07A-M4-2-v1,Nokia
994,E07A-M4-2-v1,Ericsson
187,E07A-M2-4-v1,Ericsson
587,N07A-M4-4-v1,Nokia
945,E07A-M4-4-v1,Ericsson
1031,N07A-M3-4-v1,Nokia
1157,N07A-M2-4-v1,Nokia
1185,E07A-M3-4-v1,Ericsson
485,E07B-M2-1-v1,Ericsson
793,N07B-M4-1-v1,Nokia
866,E07B-M3-1-v1,Ericsson
1030,N07B-M3-1-v1,Nokia
1086,E07B-M4-1-v1,Ericsson
1248,N07B-M2-1-v1,Nokia
57,E07B-M3-2-v1,Ericsson
588,N07B-M4-2-v1,Nokia
606,E07B-M2-2-v1,Ericsson
627,E07B-M4-2-v1,Ericsson
700,N07B-M3-2-v1,Nokia
829,N07B-M2-2-v1,Nokia
297,E07B-M2-3-v1,Ericsson
331,E07B-M4-3-v1,Ericsson
434,N07B-M2-3-v1,Nokia
930,E07B-M3-3-v1,Ericsson
1016,N07B-M4-3-v1,Nokia
1208,N07B-M3-3-v1,Nokia
75,E07B-M2-4-v1,Ericsson
376,N07B-M2-4-v1,Nokia
730,N07B-M4-4-v1,Nokia
739,E07B-M3-4-v1,Ericsson
1069,N07B-M3-4-v1,Nokia
1309,E07B-M4-4-v1,Ericsson
226,E08A-M2-1-v1,Ericsson
433,N08A-M2-1-v1,Nokia
571,N08A-M3-1-v1,Nokia
649,N08A-M4-1-v1,Nokia
1043,E08A-M3-1-v1,Ericsson
1085,E08A-M4-1-v1,Ericsson
248,E08A-M2-2-v1,Ericsson
438,N08A-M4-2-v1,Nokia
1104,E08A-M4-2-v1,Ericsson
1169,N08A-M2-2-v1,Nokia
1180,N08A-M3-2-v1,Nokia
1257,E08A-M3-2-v1,Ericsson
147,E08A-M2-4-v1,Ericsson
300,N08A-M2-4-v1,Nokia
380,N08A-M3-4-v1,Nokia
680,E08A-M3-4-v1,Ericsson
687,N08A-M4-4-v1,Nokia
850,E08A-M4-4-v1,Ericsson
193,N08B-M4-1-v1,Nokia
320,N08B-M3-1-v1,Nokia
582,E08B-M2-1-v1,Ericsson
1002,E08B-M3-1-v1,Ericsson
1056,E08B-M4-1-v1,Ericsson
1152,N08B-M2-1-v1,Nokia
59,N08B-M3-2-v1,Nokia
78,E08B-M4-2-v1,Ericsson
542,E08B-M2-2-v1,Ericsson
902,E08B-M3-2-v1,Ericsson
969,N08B-M4-2-v1,Nokia
1015,N08B-M2-2-v1,Nokia
173,E08B-M2-3-v1,Ericsson
980,N08B-M3-3-v1,Nokia
1039,N08B-M4-3-v1,Nokia
1206,E08B-M3-3-v1,Ericsson
1210,E08B-M4-3-v1,Ericsson
1262,N08B-M2-3-v1,Nokia
281,E08B-M3-4-v1,Ericsson
413,E08B-M2-4-v1,Ericsson
963,E08B-M4-4-v1,Ericsson
1006,N08B-M3-4-v1,Nokia
1080,N08B-M2-4-v1,Nokia
1362,N08B-M4-4-v1,Nokia
38,ENI09A-M3-1-v1,Ericsson (Northern Ireland)
296,E09A-M2-1-v1,Ericsson
358,N09A-M4-1-v1,Nokia
591,ENI09A-M2-1-v1,Ericsson (Northern Ireland)
703,ENI09A-M4-1-v1,Ericsson (Northern Ireland)
810,N09A-M3-1-v1,Nokia
1120,E09A-M4-1-v1,Ericsson
1124,E09A-M3-1-v1,Ericsson
1182,N09A-M2-1-v1,Nokia
321,E09A-M2-2-v1,Ericsson
452,N09A-M2-2-v1,Nokia
483,ENI09A-M3-2-v1,Ericsson (Northern Ireland)
487,ENI09A-M4-2-v1,Ericsson (Northern Ireland)
586,E09A-M4-2-v1,Ericsson
729,N09A-M4-2-v1,Nokia
903,E09A-M3-2-v1,Ericsson
1119,N09A-M3-2-v1,Nokia
1387,ENI09A-M2-2-v1,Ericsson (Northern Ireland)
369,E09A-M2-4-v1,Ericsson
439,E09A-M4-4-v1,Ericsson
743,N09A-M3-4-v1,Nokia
765,N09A-M4-4-v1,Nokia
1196,N09A-M2-4-v1,Nokia
1203,E09A-M3-4-v1,Ericsson
106,E09B-M2-1-v1,Ericsson
172,N09B-M3-1-v1,Nokia
323,ENI09B-M4-1-v1,Ericsson (Northern Ireland)
637,E09B-M4-1-v1,Ericsson
732,ENI09B-M2-1-v1,Ericsson (Northern Ireland)
779,E09B-M3-1-v1,Ericsson
840,ENI09B-M3-1-v1,Ericsson (Northern Ireland)
886,N09B-M2-1-v1,Nokia
1057,N09B-M4-1-v1,Nokia
64,E09B-M2-2-v1,Ericsson
241,E09B-M4-2-v1,Ericsson
659,ENI09B-M2-2-v1,Ericsson (Northern Ireland)
752,ENI09B-M3-2-v1,Ericsson (Northern Ireland)
824,N09B-M2-2-v1,Nokia
867,E09B-M3-2-v1,Ericsson
1078,N09B-M4-2-v1,Nokia
1118,N09B-M3-2-v1,Nokia
1320,ENI09B-M4-2-v1,Ericsson (Northern Ireland)
232,N09B-M4-3-v1,Nokia
326,N09B-M2-3-v1,Nokia
393,E09B-M2-3-v1,Ericsson
409,ENI09B-M3-3-v1,Ericsson (Northern Ireland)
572,N09B-M3-3-v1,Nokia
